check_id,check_type,expected_value,observed_value,status,checked_files,evidence_path
scifact_policy_reward_delta,claim_value,0.033711,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv[scifact/Selective retrieval policy/delta]
scifact_policy_reward_ci_low,claim_value,0.008852,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv[scifact/Selective retrieval policy/ci_low]
scifact_policy_reward_ci_high,claim_value,0.058341,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv[scifact/Selective retrieval policy/ci_high]
nfcorpus_policy_reward_delta,claim_value,0.029942,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv[nfcorpus/Selective retrieval policy/delta]
nfcorpus_policy_reward_ci_low,claim_value,0.005428,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv[nfcorpus/Selective retrieval policy/ci_low]
nfcorpus_policy_reward_ci_high,claim_value,0.054799,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv[nfcorpus/Selective retrieval policy/ci_high]
scifact_constrained_delta,claim_value,0.047350,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv[scifact/constrained/delta]
nfcorpus_constrained_delta,claim_value,0.032656,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv[nfcorpus/constrained/delta]
scifact_ope_ips_sparse_error,claim_value,0.267959,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_claims_matrix.csv[scifact_ope_ips_coverage_warning/value]
scifact_ope_ips_uniform_error,claim_value,0.127173,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_claims_matrix.csv[scifact_ope_ips_coverage_warning/baseline_value]
nfcorpus_ope_dr_error,claim_value,0.038419,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_claims_matrix.csv[nfcorpus_ope_dr_stability/value]
nfcorpus_ope_dm_error,claim_value,0.052150,present_in_all_required_docs,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_claims_matrix.csv[nfcorpus_ope_dr_stability/baseline_value]
artifact_path_outputs/checkpoints/hotpot_bandit_policy.pkl,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/checkpoints/hotpot_bandit_policy.pkl
artifact_path_outputs/checkpoints/hotpot_fqi_q0.pkl,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/checkpoints/hotpot_fqi_q0.pkl
artifact_path_outputs/checkpoints/hotpot_fqi_q1.pkl,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/checkpoints/hotpot_fqi_q1.pkl
artifact_path_outputs/checkpoints/hotpot_llm_retrieval_policy.pkl,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/checkpoints/hotpot_llm_retrieval_policy.pkl
artifact_path_outputs/checkpoints/hotpot_retrieval_policy.pkl,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/checkpoints/hotpot_retrieval_policy.pkl
artifact_path_outputs/checkpoints/nfcorpus_retrieval_policy.pkl,artifact_path,exists,exists,pass,"FINAL_DEFENSE_QA.md,FINAL_REPORT.md",outputs/checkpoints/nfcorpus_retrieval_policy.pkl
artifact_path_outputs/checkpoints/nq_bandit_policy.pkl,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/checkpoints/nq_bandit_policy.pkl
artifact_path_outputs/checkpoints/nq_retrieval_policy.pkl,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/checkpoints/nq_retrieval_policy.pkl
artifact_path_outputs/checkpoints/scifact_retrieval_policy.pkl,artifact_path,exists,exists,pass,"FINAL_DEFENSE_QA.md,FINAL_REPORT.md",outputs/checkpoints/scifact_retrieval_policy.pkl
artifact_path_outputs/figures/final_cost_reward_frontier.png,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md",outputs/figures/final_cost_reward_frontier.png
artifact_path_outputs/figures/final_linucb_comparison.png,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md",outputs/figures/final_linucb_comparison.png
artifact_path_outputs/figures/final_ope_estimator_error.png,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md",outputs/figures/final_ope_estimator_error.png
artifact_path_outputs/figures/final_reward_delta_ci.png,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md",outputs/figures/final_reward_delta_ci.png
artifact_path_outputs/figures/multistep_action_traces.png,artifact_path,exists,exists,pass,FINAL_RESULTS_SUMMARY.md,outputs/figures/multistep_action_traces.png
artifact_path_outputs/figures/multistep_metrics.png,artifact_path,exists,exists,pass,FINAL_RESULTS_SUMMARY.md,outputs/figures/multistep_metrics.png
artifact_path_outputs/figures/nfcorpus_bandit_replay_regret.png,artifact_path,exists,exists,pass,"FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md",outputs/figures/nfcorpus_bandit_replay_regret.png
artifact_path_outputs/figures/scifact_bandit_replay_regret.png,artifact_path,exists,exists,pass,"FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md",outputs/figures/scifact_bandit_replay_regret.png
artifact_path_outputs/results/final_artifact_index.csv,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_REPORT.md",outputs/results/final_artifact_index.csv
artifact_path_outputs/results/final_checkpoint_manifest.csv,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_REPORT.md",outputs/results/final_checkpoint_manifest.csv
artifact_path_outputs/results/final_claims_matrix.csv,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_REPORT.md",outputs/results/final_claims_matrix.csv
artifact_path_outputs/results/final_evidence_consistency.csv,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/results/final_evidence_consistency.csv
artifact_path_outputs/results/final_main_results_table.csv,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md,FINAL_PRESENTATION_OUTLINE.md,FINAL_REPORT.md",outputs/results/final_main_results_table.csv
artifact_path_outputs/results/final_main_results_table.tex,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/results/final_main_results_table.tex
artifact_path_outputs/results/multistep_metadata.json,artifact_path,exists,exists,pass,FINAL_RESULTS_SUMMARY.md,outputs/results/multistep_metadata.json
artifact_path_outputs/results/multistep_summary.csv,artifact_path,exists,exists,pass,FINAL_RESULTS_SUMMARY.md,outputs/results/multistep_summary.csv
artifact_path_outputs/results/nfcorpus_bandit_replay_summary.csv,artifact_path,exists,exists,pass,"FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md",outputs/results/nfcorpus_bandit_replay_summary.csv
artifact_path_outputs/results/nfcorpus_constrained_policy_bootstrap.csv,artifact_path,exists,exists,pass,FINAL_DEFENSE_QA.md,outputs/results/nfcorpus_constrained_policy_bootstrap.csv
artifact_path_outputs/results/nfcorpus_linucb_baseline_summary.csv,artifact_path,exists,exists,pass,FINAL_RESULTS_SUMMARY.md,outputs/results/nfcorpus_linucb_baseline_summary.csv
artifact_path_outputs/results/nfcorpus_ope_stability.csv,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_RESULTS_SUMMARY.md",outputs/results/nfcorpus_ope_stability.csv
artifact_path_outputs/results/nfcorpus_vertex_deployment_decision.csv,artifact_path,exists,exists,pass,FINAL_REPORT.md,outputs/results/nfcorpus_vertex_deployment_decision.csv
artifact_path_outputs/results/scifact_bandit_replay_summary.csv,artifact_path,exists,exists,pass,"FINAL_DEFENSE_QA.md,FINAL_RESULTS_SUMMARY.md",outputs/results/scifact_bandit_replay_summary.csv
artifact_path_outputs/results/scifact_constrained_policy_bootstrap.csv,artifact_path,exists,exists,pass,FINAL_DEFENSE_QA.md,outputs/results/scifact_constrained_policy_bootstrap.csv
artifact_path_outputs/results/scifact_linucb_baseline_summary.csv,artifact_path,exists,exists,pass,FINAL_RESULTS_SUMMARY.md,outputs/results/scifact_linucb_baseline_summary.csv
artifact_path_outputs/results/scifact_ope_stability.csv,artifact_path,exists,exists,pass,"FINAL_SLIDES.md,FINAL_RESULTS_SUMMARY.md",outputs/results/scifact_ope_stability.csv
