dataset,qid,question,selected_action,train_best_action,oracle_action,policy_reward,train_best_reward,oracle_reward,policy_reward_delta_vs_train_best,policy_regret,oracle_margin_vs_train_best,oracle_margin_vs_second_best,candidate_action_reward_spread,oracle_tie_count,beats_train_best,matches_train_best_action,matches_oracle_action
nfcorpus,PLAIN-1983,rapamycin,dense_keyword,dense_keep,bm25_keep,0.65625,0.65625,0.65625,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-2408,Zoloft,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,dense_keep,dense_keep,dense_keep,0.5196078431372549,0.5196078431372549,0.5196078431372549,0.0,0.0,0.0,0.03,0.519607843137,1,False,True,True
nfcorpus,PLAIN-1161,fava beans,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-817,canker sores,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-2520,Caloric Restriction vs. Plant-Based Diets,bm25_keep,dense_keep,dense_keep,0.1523972602739726,0.1803652968036529,0.1803652968036529,-0.02796803653,0.02796803653,0.0,0.0,0.03,2,False,False,False
nfcorpus,PLAIN-1962,pumpkin,bm25_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-1909,pork,dense_keyword,dense_keep,bm25_keep,0.5064794816414687,0.5064794816414687,0.5107991360691144,0.0,0.004319654428,0.004319654428,0.0,0.034319654428,2,False,False,False
nfcorpus,PLAIN-2690,Chronic Headaches and Pork Tapeworms,dense_keep,dense_keep,dense_keep,0.5697674418604651,0.5697674418604651,0.5697674418604651,0.0,0.0,0.0,0.0,0.296511627907,2,False,True,True
nfcorpus,PLAIN-2610,Treating Asthma With Plants vs. Supplements?,dense_keep,dense_keep,bm25_keep,0.2991803278688524,0.2991803278688524,0.5327868852459017,0.0,0.233606557377,0.233606557377,0.0,0.263606557377,2,False,True,False
nfcorpus,PLAIN-850,cauliflower,bm25_keyword,dense_keep,bm25_keep,0.5877192982456141,0.5350877192982456,0.5877192982456141,0.052631578947,0.0,0.052631578947,0.0,0.052631578947,2,True,False,False
nfcorpus,PLAIN-2750,Preventing the Common Cold with Probiotics?,bm25_keep,dense_keep,dense_keep,0.5508474576271186,0.5677966101694916,0.5677966101694916,-0.016949152542,0.016949152542,0.0,0.0,0.046949152542,2,False,False,False
nfcorpus,PLAIN-207,Avoiding Cooked Meat Carcinogens,dense_keep,dense_keep,dense_keep,0.5545454545454546,0.5545454545454546,0.5545454545454546,0.0,0.0,0.0,0.0,0.286363636364,2,False,True,True
nfcorpus,PLAIN-1183,Finland,bm25_keep,dense_keep,bm25_keep,0.54,0.29,0.54,0.25,0.0,0.25,0.0,0.25,2,True,False,True
nfcorpus,PLAIN-418,Fresh fruit versus frozen--which is better?,dense_keep,dense_keep,bm25_keep,1.1666666666666663,1.1666666666666663,1.1666666666666663,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-541,American Dental Association,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.2916666666666666,0.0,0.291666666667,0.291666666667,0.0,0.321666666667,2,False,True,False
nfcorpus,PLAIN-2720,Keeping Your Hands Warm With Citrus,dense_keep,dense_keep,bm25_keyword,0.1805555555555555,0.1805555555555555,0.5555555555555556,0.0,0.375,0.375,0.057777777778,0.457777777778,1,False,True,False
nfcorpus,PLAIN-3131,Are Avocados Good for You?,bm25_keyword,dense_keep,dense_keep,0.0,0.6666666666666666,0.6666666666666666,-0.666666666667,0.666666666667,0.0,0.0,0.666666666667,2,False,False,False
nfcorpus,PLAIN-1066,Dr. Walter Willett,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-2650,Turmeric Curcumin and Osteoarthritis,bm25_keep,dense_keep,bm25_keep,0.5689655172413793,0.5689655172413793,0.5689655172413793,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-3053,Dragon's Blood,bm25_keep,dense_keep,bm25_keep,1.1666666666666663,0.8333333333333333,1.1666666666666663,0.333333333333,0.0,0.333333333333,0.0,0.333333333333,2,True,False,True
nfcorpus,PLAIN-1762,oral intraepithelial neoplasia,bm25_keyword,dense_keep,hybrid_keep,0.5,0.875,0.97,-0.375,0.47,0.095,0.0,0.47,2,False,False,False
nfcorpus,PLAIN-2830,Neurobiology of Artificial Sweeteners,bm25_keep,dense_keep,bm25_keyword,0.5,0.4583333333333333,0.5833333333333333,0.041666666667,0.083333333333,0.125,0.083333333333,0.583333333333,1,True,False,False
nfcorpus,PLAIN-1496,leeks,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-1794,Panama,bm25_keep,dense_keep,bm25_keep,1.5,1.0,1.5,0.5,0.0,0.5,0.0,0.5,2,True,False,True
nfcorpus,PLAIN-371,Any update on the scary in vitro avocado data?,dense_keep,dense_keep,bm25_keyword,0.625,0.625,0.6666666666666666,0.0,0.041666666667,0.041666666667,0.041666666667,0.666666666667,1,False,True,False
nfcorpus,PLAIN-12,Exploiting Autophagy to Live Longer,dense_keep,dense_keep,dense_keep,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0,0.0,0.0,0.066666666667,0.23,1,False,True,True
nfcorpus,PLAIN-1827,Peoria,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-1151,factory farming practices,bm25_keyword,dense_keep,dense_keep,0.1315359477124183,0.1797385620915032,0.1797385620915032,-0.048202614379,0.048202614379,0.0,0.0,0.103202614379,2,False,False,False
nfcorpus,PLAIN-593,apnea,bm25_keep,dense_keep,bm25_keep,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-987,cumin,bm25_keep,dense_keep,bm25_keep,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.53,2,True,False,True
nfcorpus,PLAIN-3392,Healthiest Airplane Beverage,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-3201,Acne & Cancer Connection,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.13125,0.0,0.13125,0.13125,0.0,0.16125,2,False,True,False
nfcorpus,PLAIN-196,Should We Avoid Titanium Dioxide?,bm25_keyword,dense_keep,bm25_keep,0.5434782608695652,0.5144927536231884,0.5434782608695652,0.028985507246,0.0,0.028985507246,0.0,0.044492753623,2,True,False,False
nfcorpus,PLAIN-2810,Apple Juice May Be Worse Than Sugar Water,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-1867,pineapples,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-430,Are krill oil supplements better than fish oil capsules?,bm25_keyword,dense_keep,bm25_keep,0.875,0.75,0.875,0.125,0.0,0.125,0.0,0.125,2,True,False,False
nfcorpus,PLAIN-3097,Amyloid and Apple Juice,bm25_keep,dense_keep,bm25_keep,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-3151,Too Much Iodine Can Be as Bad as Too Little,dense_keep,dense_keep,dense_keep,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.363333333333,2,False,True,True
nfcorpus,PLAIN-520,Alli,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-2600,Eggs and Arterial Function,dense_keep,dense_keep,dense_keep,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.6,2,False,True,True
nfcorpus,PLAIN-270,Is Caffeinated Tea Really Dehydrating?,bm25_keyword,dense_keep,bm25_keep,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-1039,domoic acid,bm25_keep,dense_keep,bm25_keep,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-2450,Are Organic Foods Safer?,bm25_keyword,dense_keep,bm25_keep,0.5526315789473684,0.1929824561403508,0.5526315789473684,0.359649122807,0.0,0.359649122807,0.0,0.359649122807,2,True,False,False
nfcorpus,PLAIN-792,cadaverine,bm25_keep,dense_keep,bm25_keep,1.0,0.2916666666666666,1.0,0.708333333333,0.0,0.708333333333,0.0,0.708333333333,2,True,False,True
nfcorpus,PLAIN-280,Mercury Testing Recommended Before Pregnancy,dense_keep,dense_keep,bm25_keep,0.35,0.35,0.6,0.0,0.25,0.25,0.0,0.28,2,False,True,False
nfcorpus,PLAIN-112,Food Dyes and ADHD,bm25_keep,dense_keep,dense_keep,0.5357142857142857,0.5892857142857143,0.5892857142857143,-0.053571428571,0.053571428571,0.0,0.0,0.065714285714,2,False,False,False
nfcorpus,PLAIN-2321,veggie chicken,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-56,Foods for Glaucoma,dense_keep,dense_keep,dense_keep,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.05,2,False,True,True
nfcorpus,PLAIN-3241,Apthous Ulcer Mystery Solved,dense_keep,dense_keep,dense_keep,0.5344827586206896,0.5344827586206896,0.5344827586206896,0.0,0.0,0.0,0.0,0.534482758621,2,False,True,True
nfcorpus,PLAIN-383,What do you think of Dr. Jenkins' take on paleolithic diets?,dense_keep,dense_keep,hybrid_keyword,0.325,0.325,0.3366666666666666,0.0,0.011666666667,0.011666666667,0.011666666667,0.366666666667,1,False,True,False
nfcorpus,PLAIN-1741,nuts,dense_keyword,dense_keep,bm25_keep,0.5119047619047619,0.5119047619047619,0.5119047619047619,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-3221,Dietary Theory of Alzheimer's,dense_keep,dense_keep,dense_keep,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.196666666667,2,False,True,True
nfcorpus,PLAIN-1635,milk,dense_keyword,dense_keep,dense_keep,0.511600928074246,0.511600928074246,0.511600928074246,0.0,0.0,0.0,0.0,0.256960556845,2,False,False,False
nfcorpus,PLAIN-2850,More Antibiotics In White Meat or Dark Meat?,bm25_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-1679,myelopathy,dense_keyword,dense_keep,dense_keep,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.0,0.0,0.0,0.0,1.196666666667,2,False,False,False
nfcorpus,PLAIN-1601,memory,dense_keyword,dense_keep,dense_keep,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.0,0.0,0.0,0.0,0.25,2,False,False,False
nfcorpus,PLAIN-3432,Healthy Chocolate Milkshakes,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.2142857142857142,0.0,0.214285714286,0.214285714286,0.0,0.214285714286,2,False,True,False
nfcorpus,PLAIN-1262,Global Burden of Disease Study,dense_keep,dense_keep,dense_keyword,0.7,0.7,0.8,0.0,0.1,0.1,0.03,0.45,1,False,True,False
nfcorpus,PLAIN-1172,fenugreek,bm25_keep,dense_keep,bm25_keep,0.5526315789473684,0.5526315789473684,0.5526315789473684,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-2375,whiting,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-2660,How Long to Detox From Fish Before Pregnancy?,dense_keep,dense_keep,bm25_keyword,0.137037037037037,0.137037037037037,0.287037037037037,0.0,0.15,0.15,0.113333333333,0.155,1,False,True,False
nfcorpus,PLAIN-1374,hormonal dysfunction,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.1384615384615384,0.0,0.138461538462,0.138461538462,0.0,0.168461538462,2,False,False,False
nfcorpus,PLAIN-2240,titanium dioxide,bm25_keep,dense_keep,bm25_keep,0.7727272727272727,0.5909090909090909,0.7727272727272727,0.181818181818,0.0,0.181818181818,0.0,0.211818181818,2,True,False,True
nfcorpus,PLAIN-1119,energy drinks,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-2220,tempeh,bm25_keep,dense_keep,bm25_keep,0.6111111111111112,0.2777777777777778,0.6111111111111112,0.333333333333,0.0,0.333333333333,0.0,0.333333333333,2,True,False,True
nfcorpus,PLAIN-3211,Overdosing on Greens,bm25_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-3452,Bowel Movement Frequency,bm25_keep,dense_keep,bm25_keep,0.6764705882352942,0.0,0.6764705882352942,0.676470588235,0.0,0.676470588235,0.0,0.676470588235,2,True,False,True
nfcorpus,PLAIN-2970,Preventing Cataracts with Diet,dense_keep,dense_keep,dense_keep,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,0.0,0.611111111111,2,False,True,True
nfcorpus,PLAIN-1972,quinine,bm25_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-3422,Vitamin Supplements Worth Taking,bm25_keep,dense_keep,dense_keep,0.0,0.132258064516129,0.132258064516129,-0.132258064516,0.132258064516,0.0,0.0,0.162258064516,2,False,False,False
nfcorpus,PLAIN-1950,prunes,bm25_keep,dense_keep,bm25_keep,0.4038461538461538,0.4038461538461538,0.4038461538461538,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-3161,Is Milk and Mucus a Myth?,bm25_keyword,dense_keep,bm25_keep,0.5232558139534884,0.5232558139534884,0.5465116279069767,0.0,0.023255813953,0.023255813953,0.023255813953,0.053255813953,1,False,False,False
nfcorpus,PLAIN-3302,Fish Fog,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.5540540540540541,0.0,0.554054054054,0.554054054054,0.0,0.554054054054,2,False,True,False
nfcorpus,PLAIN-2071,serotonin,dense_keep,dense_keep,bm25_keep,0.5444444444444444,0.5444444444444444,0.5666666666666667,0.0,0.022222222222,0.022222222222,0.0,0.052222222222,2,False,True,False
nfcorpus,PLAIN-1463,kidney beans,bm25_keep,dense_keep,hybrid_keep,0.5833333333333334,0.25,0.595,0.333333333333,0.011666666667,0.345,0.0,0.345,2,True,False,False
nfcorpus,PLAIN-1485,lard,bm25_keep,dense_keep,bm25_keep,0.1435185185185185,0.0,0.1435185185185185,0.143518518519,0.0,0.143518518519,0.0,0.173518518519,2,True,False,True
nfcorpus,PLAIN-1109,endocrine disruptors,bm25_keyword,dense_keep,dense_keep,0.5306122448979592,0.5408163265306123,0.5408163265306123,-0.010204081633,0.010204081633,0.0,0.0,0.03,2,False,False,False
nfcorpus,PLAIN-68,What is Actually in Chicken Nuggets?,bm25_keep,dense_keep,bm25_keep,0.5181818181818182,0.5181818181818182,0.5181818181818182,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-660,beans,dense_keyword,dense_keep,bm25_keep,0.5105263157894737,0.5105263157894737,0.5105263157894737,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-977,crib death,dense_keyword,dense_keep,dense_keep,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0,0.0,0.0,0.0,0.488333333333,2,False,False,False
nfcorpus,PLAIN-1473,kohlrabi,bm25_keep,dense_keep,bm25_keep,1.5,0.0,1.5,1.5,0.0,1.5,0.0,1.5,2,True,False,True
nfcorpus,PLAIN-1857,phytic acid,dense_keep,dense_keep,bm25_keep,0.5909090909090909,0.5909090909090909,0.6212121212121212,0.0,0.030303030303,0.030303030303,0.0,0.030303030303,2,False,True,False
nfcorpus,PLAIN-613,ascorbic acid,dense_keep,dense_keep,dense_keep,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.23,2,False,True,True
nfcorpus,PLAIN-934,coffee,dense_keyword,dense_keep,bm25_keep,0.2698019801980198,0.2698019801980198,0.5396039603960396,0.0,0.269801980198,0.269801980198,0.0,0.269801980198,2,False,False,False
nfcorpus,PLAIN-956,cooking methods,dense_keyword,dense_keep,dense_keep,0.5145631067961165,0.5145631067961165,0.5145631067961165,0.0,0.0,0.0,0.0,0.379854368932,2,False,False,False
nfcorpus,PLAIN-2197,sweeteners,bm25_keyword,dense_keep,bm25_keep,0.5862068965517242,0.5689655172413793,0.5862068965517242,0.01724137931,0.0,0.01724137931,0.0,0.03,2,True,False,False
nfcorpus,PLAIN-259,Optimal Phytosterol Dose and Source,dense_keep,dense_keep,bm25_keep,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-3141,Relieving Yourself of Excess Estrogen,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-1008,deafness,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-1363,Hiroshima,bm25_keep,dense_keep,bm25_keep,0.5909090909090909,0.1909090909090909,0.5909090909090909,0.4,0.0,0.4,0.0,0.4,2,True,False,True
nfcorpus,PLAIN-671,benzene,bm25_keep,dense_keep,bm25_keep,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.03,4,False,False,True
nfcorpus,PLAIN-1028,dietary scoring,dense_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-806,caloric restriction,dense_keep,dense_keep,bm25_keep,0.5416666666666666,0.5416666666666666,0.5520833333333334,0.0,0.010416666667,0.010416666667,0.0,0.03,2,False,True,False
nfcorpus,PLAIN-2920,Human Neurotransmitters in Plants,dense_keep,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,True,False
nfcorpus,PLAIN-2113,soil health,bm25_keyword,dense_keep,bm25_keep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4,False,False,False
nfcorpus,PLAIN-2730,Anti-Angiogenesis: Cutting Off Tumor Supply Lines,dense_keep,dense_keep,dense_keep,0.6379310344827587,0.6379310344827587,0.6379310344827587,0.0,0.0,0.0,0.0,0.436781609195,2,False,True,True
nfcorpus,PLAIN-1837,pesticides,dense_keyword,dense_keep,bm25_keep,0.5255102040816326,0.5255102040816326,0.5255102040816326,0.0,0.0,0.0,0.0,0.03,4,False,False,False
