dataset,split,qid,question,gold_answer,retrieval_method,retrieval_action,reader,predicted_answer,exact_match,f1,recall_at_5,mrr,ndcg_at_5,retrieval_calls,retrieval_reward,top_docs,gold_docs,missing_doc_count,claim_scope
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Vanilla BM25,bm25_keep,gemini,16,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:5262336130893308488 | nq:-1567826404295558649 | nq:7937545581647887851,nq:-7008352380240766023,0,api_pilot_policy_routed_gemini_reader
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Train-best retrieval action,dense_keep,gemini,16,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:7937545581647887851,nq:-7008352380240766023,0,api_pilot_policy_routed_gemini_reader
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Selective retrieval policy,dense_keyword,gemini,16,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:8049569980651777380,nq:-7008352380240766023,0,api_pilot_policy_routed_gemini_reader
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,api_pilot_policy_routed_gemini_reader
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:6355352627831482364 | nq:-119638173687275454 | nq:7199935063232716100 | nq:2329833534419074937,nq:-7657379080399040683,0,api_pilot_policy_routed_gemini_reader
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Selective retrieval policy,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,api_pilot_policy_routed_gemini_reader
nq,test,3860011458309154397,list of american league and national league teams,,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3860011458309154397 | nq:-6939993637603870565 | nq:-119638173687275454 | nq:-5117382453861077400 | nq:-1651199256174655645,nq:3860011458309154397,0,api_pilot_policy_routed_gemini_reader
nq,test,3860011458309154397,list of american league and national league teams,,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3860011458309154397 | nq:-6939993637603870565 | nq:-119638173687275454 | nq:9157704670468415290 | nq:-1725899096851471109,nq:3860011458309154397,0,api_pilot_policy_routed_gemini_reader
nq,test,3860011458309154397,list of american league and national league teams,,Selective retrieval policy,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3860011458309154397 | nq:-6939993637603870565 | nq:-119638173687275454 | nq:-5117382453861077400 | nq:-1651199256174655645,nq:3860011458309154397,0,api_pilot_policy_routed_gemini_reader
nq,test,1172277683662974732,where did hasta la vista baby come from,Arnold Schwarzenegger's title character from the 1991 science fiction thriller film Terminator 2: Judgment Day,Vanilla BM25,bm25_keep,gemini,"The 1991 film Terminator 2: Judgment Day and the 1987 song ""Looking for a New Love"".",0.0,0.4444444444444445,1.0,1.0,1.0,1.0,1.5,nq:1172277683662974732 | nq:5758694170037504500 | nq:5076821131444764956 | nq:-546696194238868913 | nq:6249949001034298351,nq:1172277683662974732,0,api_pilot_policy_routed_gemini_reader
nq,test,1172277683662974732,where did hasta la vista baby come from,Arnold Schwarzenegger's title character from the 1991 science fiction thriller film Terminator 2: Judgment Day,Train-best retrieval action,dense_keep,gemini,"The phrase was used in the 1987 song ""Looking for a New Love"" and is a catchphrase from the 1991 film *Terminator 2: Judgment Day*.",0.0,0.4117647058823529,1.0,1.0,1.0,1.0,1.5,nq:1172277683662974732 | nq:8221988726104372475 | nq:6185983988907724243 | nq:246927435436425337 | nq:2157125040478289133,nq:1172277683662974732,0,api_pilot_policy_routed_gemini_reader
nq,test,1172277683662974732,where did hasta la vista baby come from,Arnold Schwarzenegger's title character from the 1991 science fiction thriller film Terminator 2: Judgment Day,Selective retrieval policy,dense_keyword,gemini,"The phrase was used in the 1987 song ""Looking for a New Love"" and is a catchphrase from the 1991 film Terminator 2: Judgment Day.",0.0,0.4117647058823529,1.0,1.0,1.0,1.0,1.5,nq:1172277683662974732 | nq:6185983988907724243 | nq:918027731204120251 | nq:2157125040478289133 | nq:-4874015616517210900,nq:1172277683662974732,0,api_pilot_policy_routed_gemini_reader
nq,test,2795459746948664513,what are the biggest citys in the usa,,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nq:-2337125086003031897 | nq:5684766297191349827 | nq:5416190673077081367 | nq:2750109669430963686 | nq:-2398576916067490009,nq:2795459746948664513,0,api_pilot_policy_routed_gemini_reader
nq,test,2795459746948664513,what are the biggest citys in the usa,,Train-best retrieval action,dense_keep,gemini,"New York City, Los Angeles",0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:2795459746948664513 | nq:5684766297191349827 | nq:1541249210482822392 | nq:3470213507052116668 | nq:-8045833528701674110,nq:2795459746948664513,0,api_pilot_policy_routed_gemini_reader
nq,test,2795459746948664513,what are the biggest citys in the usa,,Selective retrieval policy,dense_keep,gemini,"New York City, Los Angeles",0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:2795459746948664513 | nq:5684766297191349827 | nq:1541249210482822392 | nq:3470213507052116668 | nq:-8045833528701674110,nq:2795459746948664513,0,api_pilot_policy_routed_gemini_reader
nq,test,8213413935253147842,when is the last time the vikings were in the nfc championship,1976,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:8213413935253147842 | nq:3933917703167660948 | nq:-5525046227808782882 | nq:-1403561686055024600 | nq:-1714964231516223669,nq:8213413935253147842,0,api_pilot_policy_routed_gemini_reader
nq,test,8213413935253147842,when is the last time the vikings were in the nfc championship,1976,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:8213413935253147842 | nq:-7195400924760894316 | nq:-5525046227808782882 | nq:-8188778280161966817 | nq:-2614991144147210745,nq:8213413935253147842,0,api_pilot_policy_routed_gemini_reader
nq,test,8213413935253147842,when is the last time the vikings were in the nfc championship,1976,Selective retrieval policy,bm25_keyword,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:8213413935253147842 | nq:3933917703167660948 | nq:-5525046227808782882 | nq:-8632838885510071147 | nq:8818050291845026380,nq:8213413935253147842,0,api_pilot_policy_routed_gemini_reader
nq,test,-3857694463453742742,which two principles are the foundation of every states constitution,,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,1.1666666666666667,nq:-6831117546976231492 | nq:-5117382453861077400 | nq:-3857694463453742742 | nq:2044173796998267302 | nq:-8026170650461141114,nq:-3857694463453742742,0,api_pilot_policy_routed_gemini_reader
nq,test,-3857694463453742742,which two principles are the foundation of every states constitution,,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-3857694463453742742 | nq:-8026170650461141114 | nq:4306749566186588785 | nq:1340598526765817964 | nq:2304688238597950338,nq:-3857694463453742742,0,api_pilot_policy_routed_gemini_reader
nq,test,-3857694463453742742,which two principles are the foundation of every states constitution,,Selective retrieval policy,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-3857694463453742742 | nq:-8026170650461141114 | nq:4306749566186588785 | nq:1340598526765817964 | nq:2304688238597950338,nq:-3857694463453742742,0,api_pilot_policy_routed_gemini_reader
nq,test,3491840972245765831,who is the book of acts written to,to Jewish audiences,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3491840972245765831 | nq:-9117144605577332927 | nq:5299445249075474807 | nq:-6667478543914419448 | nq:970985133701043298,nq:3491840972245765831,0,api_pilot_policy_routed_gemini_reader
nq,test,3491840972245765831,who is the book of acts written to,to Jewish audiences,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3491840972245765831 | nq:970985133701043298 | nq:220513479344127178 | nq:5299445249075474807 | nq:935418947813312284,nq:3491840972245765831,0,api_pilot_policy_routed_gemini_reader
nq,test,3491840972245765831,who is the book of acts written to,to Jewish audiences,Selective retrieval policy,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3491840972245765831 | nq:970985133701043298 | nq:220513479344127178 | nq:5299445249075474807 | nq:935418947813312284,nq:3491840972245765831,0,api_pilot_policy_routed_gemini_reader
nq,test,6255051608078138794,who sings why does it hurt when i pee,Frank Zappa,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,1.1666666666666667,nq:-1268179953831754266 | nq:-7299076255108845857 | nq:6255051608078138794 | nq:-1886758056229796497 | nq:4791954452980353113,nq:6255051608078138794,0,api_pilot_policy_routed_gemini_reader
nq,test,6255051608078138794,who sings why does it hurt when i pee,Frank Zappa,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,0.5,0.6309297535714575,1.0,1.25,nq:-1773607187248198254 | nq:6255051608078138794 | nq:2485791396969793161 | nq:-7344445742524899311 | nq:1905560995985348796,nq:6255051608078138794,0,api_pilot_policy_routed_gemini_reader
nq,test,6255051608078138794,who sings why does it hurt when i pee,Frank Zappa,Selective retrieval policy,dense_keep,gemini,unknown,0.0,0.0,1.0,0.5,0.6309297535714575,1.0,1.25,nq:-1773607187248198254 | nq:6255051608078138794 | nq:2485791396969793161 | nq:-7344445742524899311 | nq:1905560995985348796,nq:6255051608078138794,0,api_pilot_policy_routed_gemini_reader
nq,test,2329833534419074937,when does star trek discovery season 1 end,"February 11, 2018",Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:2329833534419074937 | nq:6355352627831482364 | nq:-836623887470609373 | nq:-3821358994539922203 | nq:6588008666030402706,nq:2329833534419074937,0,api_pilot_policy_routed_gemini_reader
nq,test,2329833534419074937,when does star trek discovery season 1 end,"February 11, 2018",Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:2329833534419074937 | nq:-836623887470609373 | nq:3933917703167660948 | nq:3161776598162050484 | nq:6104361726291481647,nq:2329833534419074937,0,api_pilot_policy_routed_gemini_reader
nq,test,2329833534419074937,when does star trek discovery season 1 end,"February 11, 2018",Selective retrieval policy,bm25_keyword,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:2329833534419074937 | nq:6355352627831482364 | nq:6588008666030402706 | nq:-4989627734855847876 | nq:-836623887470609373,nq:2329833534419074937,0,api_pilot_policy_routed_gemini_reader
nq,test,-2337125086003031897,law & order criminal intent season 8 episode 8,,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-2337125086003031897 | nq:4296988594167310929 | nq:7413826602347108802 | nq:-7778233237890403173 | nq:6185983988907724243,nq:-2337125086003031897,0,api_pilot_policy_routed_gemini_reader
nq,test,-2337125086003031897,law & order criminal intent season 8 episode 8,,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-2337125086003031897 | nq:7413826602347108802 | nq:-304906180424272250 | nq:-2761330069334402239 | nq:-7778233237890403173,nq:-2337125086003031897,0,api_pilot_policy_routed_gemini_reader
nq,test,-2337125086003031897,law & order criminal intent season 8 episode 8,,Selective retrieval policy,dense_keyword,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-2337125086003031897 | nq:7413826602347108802 | nq:-304906180424272250 | nq:-2761330069334402239 | nq:2747919437668471060,nq:-2337125086003031897,0,api_pilot_policy_routed_gemini_reader
nq,test,2407951674702435272,where would you find a crawler or climbing lane,,Vanilla BM25,bm25_keep,gemini,"On a roadway ascending a steep grade, typically on Interstate highways or major routes like motorways.",0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:2407951674702435272 | nq:5372631738578000712 | nq:1161838469357678999 | nq:-1610026924693898649 | nq:-5670136654288025028,nq:2407951674702435272,0,api_pilot_policy_routed_gemini_reader
nq,test,2407951674702435272,where would you find a crawler or climbing lane,,Train-best retrieval action,dense_keep,gemini,"On roadways, such as Interstate highways or motorways, ascending a steep grade.",0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:2407951674702435272 | nq:-5670136654288025028 | nq:-575282834093664171 | nq:4507451481512224559 | nq:624776933586204232,nq:2407951674702435272,0,api_pilot_policy_routed_gemini_reader
nq,test,2407951674702435272,where would you find a crawler or climbing lane,,Selective retrieval policy,bm25_keep,gemini,"On a roadway ascending a steep grade, typically on Interstate highways or major routes like motorways.",0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:2407951674702435272 | nq:5372631738578000712 | nq:1161838469357678999 | nq:-1610026924693898649 | nq:-5670136654288025028,nq:2407951674702435272,0,api_pilot_policy_routed_gemini_reader
nq,test,-639213658336471682,kim university formerly kigali institute of management (kim),,Vanilla BM25,bm25_keep,gemini,KIM University re-branded ( December 2015 ) from Kigali Institute of Management ( KIM ) formerly International College of Accountancy and Management ( ICAM ),0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-639213658336471682 | nq:275718753854271176 | nq:7947030328438136760 | nq:-8290462455785623591 | nq:-7389783120512214939,nq:-639213658336471682,0,api_pilot_policy_routed_gemini_reader
nq,test,-639213658336471682,kim university formerly kigali institute of management (kim),,Train-best retrieval action,dense_keep,gemini,KIM University re-branded ( December 2015 ) from Kigali Institute of Management ( KIM ) formerly International College of Accountancy and Management ( ICAM ).,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-639213658336471682 | nq:-5243312822030560557 | nq:275718753854271176 | nq:-8650104853556692961 | nq:-1682616433580627593,nq:-639213658336471682,0,api_pilot_policy_routed_gemini_reader
nq,test,-639213658336471682,kim university formerly kigali institute of management (kim),,Selective retrieval policy,dense_keep,gemini,KIM University re-branded ( December 2015 ) from Kigali Institute of Management ( KIM ) formerly International College of Accountancy and Management ( ICAM ).,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-639213658336471682 | nq:-5243312822030560557 | nq:275718753854271176 | nq:-8650104853556692961 | nq:-1682616433580627593,nq:-639213658336471682,0,api_pilot_policy_routed_gemini_reader
nq,test,8518872418407042794,who drove the number 18 car in nascar,Kyle Busch,Vanilla BM25,bm25_keep,gemini,"Kyle Busch, Daniel Suárez, Kyle Benjamin, Ryan Preece, Denny Hamlin, Erik Jones",0.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.5,nq:8518872418407042794 | nq:2403472152644976805 | nq:-551602452576511763 | nq:-7326729858763272108 | nq:-6591614197125818072,nq:8518872418407042794,0,api_pilot_policy_routed_gemini_reader
nq,test,8518872418407042794,who drove the number 18 car in nascar,Kyle Busch,Train-best retrieval action,dense_keep,gemini,"Kyle Busch, Daniel Suárez, Kyle Benjamin, Ryan Preece, Denny Hamlin, Erik Jones",0.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.5,nq:8518872418407042794 | nq:5684766297191349827 | nq:-5727541586597727787 | nq:-927966355158112429 | nq:-3366153456070660329,nq:8518872418407042794,0,api_pilot_policy_routed_gemini_reader
nq,test,8518872418407042794,who drove the number 18 car in nascar,Kyle Busch,Selective retrieval policy,dense_keep,gemini,"Kyle Busch, Daniel Suárez, Kyle Benjamin, Ryan Preece, Denny Hamlin, Erik Jones",0.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.5,nq:8518872418407042794 | nq:5684766297191349827 | nq:-5727541586597727787 | nq:-927966355158112429 | nq:-3366153456070660329,nq:8518872418407042794,0,api_pilot_policy_routed_gemini_reader
nq,test,7029908801940506034,what is step 1 of the 12 step program,We admitted we were powerless over alcohol—that our lives had become unmanageable.,Vanilla BM25,bm25_keep,gemini,"admitting that one can not control one's alcoholism, addiction or compulsion",0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:7029908801940506034 | nq:5696680934593979206 | nq:4306749566186588785 | nq:5855711681130036664 | nq:3760975515527240258,nq:7029908801940506034,0,api_pilot_policy_routed_gemini_reader
