dataset,split,behavior_policy,target_method,estimator,seed_count,true_value,mean_estimated_value,std_estimated_value,mean_absolute_error,std_absolute_error,ci95_absolute_error_low,ci95_absolute_error_high,mean_match_rate,mean_effective_sample_size
scifact,test,uniform,Train-best retrieval action,direct_method,10,1.056777777777778,1.053126684198283,0.0,0.0036510935794948907,0.0,0.0036510935794948907,0.0036510935794948907,0.16699999999999998,50.1
scifact,test,uniform,Train-best retrieval action,ips,10,1.056777777777778,1.0801733333333334,0.17836133930318168,0.11951555555555557,0.1286462618631339,0.03977977636457948,0.19925133474653167,0.16699999999999998,50.1
scifact,test,uniform,Train-best retrieval action,snips,10,1.056777777777778,1.0756501213678873,0.07918374842315756,0.06228450961594032,0.04853251633232565,0.03220374434680412,0.09236527488507652,0.16699999999999998,50.1
scifact,test,uniform,Train-best retrieval action,doubly_robust,10,1.056777777777778,1.0684660931570529,0.08987844573608478,0.06944173736963959,0.05359087126484113,0.036225771231645325,0.10265770350763384,0.16699999999999998,50.1
scifact,test,uniform,Heuristic retrieval router,direct_method,10,1.0480666666666667,1.0295187910692747,2.340555645717801e-16,0.018547875597392016,0.0,0.018547875597392016,0.018547875597392016,0.15933333333333335,47.8
scifact,test,uniform,Heuristic retrieval router,ips,10,1.0480666666666667,0.9948800000000002,0.09618252478529596,0.08809999999999987,0.06140197045135151,0.050042664428068824,0.12615733557193093,0.15933333333333335,47.8
scifact,test,uniform,Heuristic retrieval router,snips,10,1.0480666666666667,1.0419762536830124,0.0779523236054576,0.06354877959076652,0.040380881377985255,0.03852045001118215,0.08857710917035089,0.15933333333333335,47.8
scifact,test,uniform,Heuristic retrieval router,doubly_robust,10,1.0480666666666667,1.0470634827211713,0.05806302483866462,0.03795667404504825,0.04209091537691959,0.011868454412124026,0.06404489367797248,0.15933333333333335,47.8
scifact,test,uniform,Selective retrieval policy,direct_method,10,1.0904888888888888,1.0671950231650418,2.340555645717801e-16,0.023293865723847063,0.0,0.023293865723847063,0.023293865723847063,0.166,49.8
scifact,test,uniform,Selective retrieval policy,ips,10,1.0904888888888888,1.1134733333333333,0.15305680604449842,0.1271733333333333,0.07773870238888965,0.07899038640193998,0.17535628026472663,0.166,49.8
scifact,test,uniform,Selective retrieval policy,snips,10,1.0904888888888888,1.1170105991313815,0.040680655548393375,0.03653465185679157,0.03087689697550006,0.01739695283868646,0.05567235087489668,0.166,49.8
scifact,test,uniform,Selective retrieval policy,doubly_robust,10,1.0904888888888888,1.1290990297832213,0.05881805631527415,0.05756890612490169,0.037861904062270677,0.03410185486094053,0.08103595738886285,0.166,49.8
scifact,test,uniform,Confidence-gated retrieval policy,direct_method,10,1.0904888888888888,1.0671950231650418,2.340555645717801e-16,0.023293865723847063,0.0,0.023293865723847063,0.023293865723847063,0.166,49.8
scifact,test,uniform,Confidence-gated retrieval policy,ips,10,1.0904888888888888,1.1134733333333333,0.15305680604449842,0.1271733333333333,0.07773870238888965,0.07899038640193998,0.17535628026472663,0.166,49.8
scifact,test,uniform,Confidence-gated retrieval policy,snips,10,1.0904888888888888,1.1170105991313815,0.040680655548393375,0.03653465185679157,0.03087689697550006,0.01739695283868646,0.05567235087489668,0.166,49.8
scifact,test,uniform,Confidence-gated retrieval policy,doubly_robust,10,1.0904888888888888,1.1290990297832213,0.05881805631527415,0.05756890612490169,0.037861904062270677,0.03410185486094053,0.08103595738886285,0.166,49.8
scifact,test,train_best_eps_0.2,Train-best retrieval action,direct_method,10,1.056777777777778,1.053126684198283,0.0,0.0036510935794948907,0.0,0.0036510935794948907,0.0036510935794948907,0.8393333333333333,251.80000000000004
scifact,test,train_best_eps_0.2,Train-best retrieval action,ips,10,1.056777777777778,1.0685373333333332,0.03882956442686746,0.028574222222222268,0.027462348719686103,0.011552882139226926,0.04559556230521761,0.8393333333333333,251.80000000000004
scifact,test,train_best_eps_0.2,Train-best retrieval action,snips,10,1.056777777777778,1.060861322660855,0.009987237079127468,0.008470024133411847,0.006209709603046854,0.004621206246457616,0.012318842020366079,0.8393333333333333,251.80000000000004
scifact,test,train_best_eps_0.2,Train-best retrieval action,doubly_robust,10,1.056777777777778,1.0597526239385295,0.008956292270297496,0.007716690180046171,0.004887177832884116,0.0046875859767350585,0.010745794383357283,0.8393333333333333,251.80000000000004
scifact,test,train_best_eps_0.2,Heuristic retrieval router,direct_method,10,1.0480666666666667,1.0295187910692747,2.340555645717801e-16,0.018547875597392016,0.0,0.018547875597392016,0.018547875597392016,0.075,9.998411112487117
scifact,test,train_best_eps_0.2,Heuristic retrieval router,ips,10,1.0480666666666667,1.0107513333333333,0.24781374088886463,0.18957800000000002,0.15174211007780328,0.09552726577805373,0.28362873422194634,0.075,9.998411112487117
scifact,test,train_best_eps_0.2,Heuristic retrieval router,snips,10,1.0480666666666667,1.0912474128118468,0.23273414746463258,0.19661081294432392,0.11526505747626974,0.12516879015829846,0.2680528357303494,0.075,9.998411112487117
scifact,test,train_best_eps_0.2,Heuristic retrieval router,doubly_robust,10,1.0480666666666667,1.0832784576211754,0.2020314309002056,0.16475312571129716,0.10970316998867469,0.0967583965051485,0.23274785491744582,0.075,9.998411112487117
scifact,test,train_best_eps_0.2,Selective retrieval policy,direct_method,10,1.0904888888888888,1.0671950231650418,2.340555645717801e-16,0.023293865723847063,0.0,0.023293865723847063,0.023293865723847063,0.25566666666666665,13.401817590177028
scifact,test,train_best_eps_0.2,Selective retrieval policy,ips,10,1.0904888888888888,1.0377399999999999,0.3131298659472586,0.26795911111111115,0.14615684765532952,0.17737015840377912,0.3585480638184432,0.25566666666666665,13.401817590177028
scifact,test,train_best_eps_0.2,Selective retrieval policy,snips,10,1.0904888888888888,1.1031140695403487,0.1632659706313926,0.12204007589461616,0.10141123382713677,0.05918474196716954,0.18489540982206276,0.25566666666666665,13.401817590177028
scifact,test,train_best_eps_0.2,Selective retrieval policy,doubly_robust,10,1.0904888888888888,1.0911497492298834,0.13130008978549543,0.0926653497561046,0.08774528737507059,0.038280257194061515,0.14705044231814768,0.25566666666666665,13.401817590177028
scifact,test,train_best_eps_0.2,Confidence-gated retrieval policy,direct_method,10,1.0904888888888888,1.0671950231650418,2.340555645717801e-16,0.023293865723847063,0.0,0.023293865723847063,0.023293865723847063,0.25566666666666665,13.401817590177028
scifact,test,train_best_eps_0.2,Confidence-gated retrieval policy,ips,10,1.0904888888888888,1.0377399999999999,0.3131298659472586,0.26795911111111115,0.14615684765532952,0.17737015840377912,0.3585480638184432,0.25566666666666665,13.401817590177028
scifact,test,train_best_eps_0.2,Confidence-gated retrieval policy,snips,10,1.0904888888888888,1.1031140695403487,0.1632659706313926,0.12204007589461616,0.10141123382713677,0.05918474196716954,0.18489540982206276,0.25566666666666665,13.401817590177028
scifact,test,train_best_eps_0.2,Confidence-gated retrieval policy,doubly_robust,10,1.0904888888888888,1.0911497492298834,0.13130008978549543,0.0926653497561046,0.08774528737507059,0.038280257194061515,0.14705044231814768,0.25566666666666665,13.401817590177028
scifact,test,heuristic_eps_0.2,Train-best retrieval action,direct_method,10,1.056777777777778,1.053126684198283,0.0,0.0036510935794948907,0.0,0.0036510935794948907,0.0036510935794948907,0.07266666666666667,9.40363626272843
scifact,test,heuristic_eps_0.2,Train-best retrieval action,ips,10,1.056777777777778,1.02343,0.32055347353454416,0.2362091111111111,0.20492927388727816,0.10919263122437078,0.3632255909978514,0.07266666666666667,9.40363626272843
scifact,test,heuristic_eps_0.2,Train-best retrieval action,snips,10,1.056777777777778,1.1593232276947187,0.17081626827095867,0.16022622189211477,0.1110730734059596,0.0913824177512447,0.22907002603298485,0.07266666666666667,9.40363626272843
scifact,test,heuristic_eps_0.2,Train-best retrieval action,doubly_robust,10,1.056777777777778,1.1288371978831693,0.08587716912085278,0.09039425620174475,0.06376029616417532,0.05087521520926928,0.12991329719422023,0.07266666666666667,9.40363626272843
scifact,test,heuristic_eps_0.2,Heuristic retrieval router,direct_method,10,1.0480666666666667,1.0295187910692747,2.340555645717801e-16,0.018547875597392016,0.0,0.018547875597392016,0.018547875597392016,0.8333333333333334,250.00000000000006
scifact,test,heuristic_eps_0.2,Heuristic retrieval router,ips,10,1.0480666666666667,1.0444833333333334,0.0332174996643428,0.02324733333333333,0.022741636465650358,0.009151921018937978,0.03734274564772869,0.8333333333333334,250.00000000000006
scifact,test,heuristic_eps_0.2,Heuristic retrieval router,snips,10,1.0480666666666667,1.0443642440723306,0.018515955771598317,0.014779023086185816,0.010741661676091013,0.008121272202913487,0.021436773969458145,0.8333333333333334,250.00000000000006
scifact,test,heuristic_eps_0.2,Heuristic retrieval router,doubly_robust,10,1.0480666666666667,1.0477132853582938,0.016310564017472013,0.014832067901027446,0.0046625802155347024,0.011942170743179069,0.017721965058875824,0.8333333333333334,250.00000000000006
scifact,test,heuristic_eps_0.2,Selective retrieval policy,direct_method,10,1.0904888888888888,1.0671950231650418,2.340555645717801e-16,0.023293865723847063,0.0,0.023293865723847063,0.023293865723847063,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Selective retrieval policy,ips,10,1.0904888888888888,1.11882,0.27747372345841426,0.2438466666666667,0.10869915414796398,0.17647423292577083,0.3112191004075626,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Selective retrieval policy,snips,10,1.0904888888888888,1.0834857952146328,0.1288403657505834,0.10936637577742366,0.058002825911918306,0.07341585181827626,0.14531689973657105,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Selective retrieval policy,doubly_robust,10,1.0904888888888888,1.098948864869153,0.12624805832364405,0.09570885407973728,0.07642063022633651,0.04834285673855374,0.14307485142092083,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Confidence-gated retrieval policy,direct_method,10,1.0904888888888888,1.0671950231650418,2.340555645717801e-16,0.023293865723847063,0.0,0.023293865723847063,0.023293865723847063,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Confidence-gated retrieval policy,ips,10,1.0904888888888888,1.11882,0.27747372345841426,0.2438466666666667,0.10869915414796398,0.17647423292577083,0.3112191004075626,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Confidence-gated retrieval policy,snips,10,1.0904888888888888,1.0834857952146328,0.1288403657505834,0.10936637577742366,0.058002825911918306,0.07341585181827626,0.14531689973657105,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Confidence-gated retrieval policy,doubly_robust,10,1.0904888888888888,1.098948864869153,0.12624805832364405,0.09570885407973728,0.07642063022633651,0.04834285673855374,0.14307485142092083,0.236,13.63641488114881
